FeSi2,2,Fe Si,1 1,1.197,1749,62,0,0.693147181,1.865,0.035,6,2,1.35E+11,35,IM,IM,0,1,0,2,,____,,
CrFe,2,Cr Fe,1 1,1.245,1995.5,184.5,0,0.693147181,1.745,0.085,7,1,1.65E+11,5,IM,IM,0,1,0,2,,12,,
CoZn,2,Co Zn,1 1,1.323,1230.34,537.66,0,0.693147181,1.765,0.115,10.5,1.5,1.25E+11,55,IM,IM,0,1,0,2,,____,,
Ni50Nb50,2,Ni Nb,50 50,1.3375,2239,511,0,0.693147181,1.755,0.155,7.5,2.5,1.75E+11,5,AM,AM,1,0,0,1,51,8,,
AlNi,2,Al Ni,1 1,1.339,1330.735,397.265,0,0.693147181,1.76,0.15,6.5,3.5,1.28E+11,52,IM,IM,0,1,0,2,,____,,
AlCo,2,Al Co,1 1,1.3415,1350.735,417.265,0,0.693147181,1.745,0.135,6,3,1.28E+11,52,IM,IM,0,1,0,2,,____,,
CoTi,2,Co Ti,1 1,1.3565,1854.5,86.5,0,0.693147181,1.71,0.17,6.5,2.5,1.45E+11,35,IM,IM,0,1,0,2,,____,,
AuCu,2,Au Cu,1 1,1.36,1347.55,10.22,0,0.693147181,2.22,0.32,11,0,1.80E+11,40,IM,IM,0,1,0,2,,12,,
AlSb,2,Al Sb,1 1,1.381,918.625,14.845,0,0.693147181,1.83,0.22,4,1,59000000000,17,IM,IM,0,1,0,2,,____,,
AlMn,2,Al Mn,1 1,1.391,1226.235,292.765,0,0.693147181,1.58,0.03,5,2,98000000000,22,IM,IM,0,1,0,2,,____,,
AlMo,2,Al Mo,1 1,1.3975,1914.735,981.265,0,0.693147181,1.885,0.275,4.5,1.5,1.53E+11,77,IM,IM,0,1,0,2,,____,,
Mg50Ni50,2,Mg Ni,50 50,1.4235,1325.5,402.5,0,0.693147181,1.61,0.3,6,4,1.13E+11,67.5,AM,AM,1,0,0,1,55,8,,
Zr50Ni50,2,Zr Ni,50 50,1.4245,1928,200,0,0.693147181,1.62,0.29,7,3,1.25E+11,54.58333333,AM,AM,1,0,0,1,53,8,,
MgCu,2,Mg Cu,50 50,1.4395,1140.385,217.385,0,0.693147181,1.605,0.295,6.5,4.5,92500000000,47.5,AM,AM,1,0,0,1,54,8,,
CuZr,2,Cu Zr ,50 50,1.4405,1742.885,385.115,0,0.693147181,1.615,0.285,7.5,3.5,1.05E+11,34.58333333,AM,AM,1,0,0,1,56,1,,
AlTi,2,Al Ti,1 1,1.447,1437.235,503.765,0,0.693147181,1.575,0.035,3.5,0.5,93000000000,17,IM,IM,0,1,0,2,,____,,
CuEr,2,Cu Er,1 1,1.517,1563.885,206.115,0,0.693147181,1.57,0.33,7,4,92000000000,48,IM,IM,0,1,0,2,,____,,
AgZr,2,Ag Zr,1 1,1.524,1681.465,446.535,0,0.693147181,1.63,0.3,7.5,3.5,85416666667,14.58333333,IM,IM,0,1,0,2,,____,,
CuDy,2,Cu Dy,1 1,1.526,1521.385,163.615,0,0.693147181,1.56,0.34,7,4,90500000000,49.5,IM,IM,0,1,0,2,,____,,
AuSn,2,Au Sn,1 1,1.531,921.205,416.125,0,0.693147181,2.25,0.29,7.5,3.5,1.39E+11,81,IM,IM,0,1,0,2,,____,,
ZrTi,2,Zr Ti,50 50,1.5325,2034.5,93.5,0,0.693147181,1.435,0.105,4,0,90416666667,19.58333333,AM,AM,1,0,0,1,53,8,,
AlNd,2,Al Nd,1 1,1.536,1113.735,180.265,0,0.693147181,1.375,0.235,3,0,54000000000,22,IM,IM,0,1,0,2,,____,,
SbY,2,Sb Y,1 1,1.566,1351.39,447.61,0,0.693147181,1.635,0.415,4,1,41500000000,0.5,IM,IM,0,1,0,2,,____,,
CdMg,2,Cd Mg,1 1,1.5845,758.61,164.39,0,0.693147181,1.5,0.19,7,5,43500000000,1.5,IM,IM,0,1,0,2,,____,,
AlCe1,2,Al Ce,1 1,1.6285,1002.235,68.765,0,0.693147181,1.365,0.245,3,0,49000000000,27,IM,IM,0,1,0,2,,____,,
AlLa,2,Al La,1 1,1.6555,1063.235,129.765,0,0.693147181,1.355,0.255,3,0,52000000000,24,IM,IM,0,1,0,2,,____,,
W6Fe7,2,W Fe,6 7,1.299153846,2680.538462,939.2088828,0,0.690185676,2.074615385,0.264214813,7.076923077,0.997037031,2.35E+11,69.79259214,IM,IM,0,1,0,2,,12,,
Al9Mn11,2,Al Mn,9 11,1.3869,1255.5115,291.297497,0.094523807,0.688138814,1.577,0.029849623,5.2,1.989974874,1.00E+11,21.88972362,IM,IM,0,1,0,2,,____,,
Cu11In9,2,Cu In,11 9,1.4049,940.161,461.6841207,0.049749372,0.688138814,1.846,0.059699246,7.4,3.979949748,91998500000,53.06765496,IM,IM,0,1,0,2,,____,,
Al4Cu5,2,Al Cu,4 5,1.346444444,1169.192222,210.8363651,0.006134617,0.686961577,1.771111111,0.144102159,7.444444444,3.97523196,1.12E+11,31.80185568,IM,IM,0,1,0,2,,____,,
Cu4Ti3,2,Cu Ti,4 3,1.356857143,1607.725714,288.6239979,0.090894795,0.682908105,1.745714286,0.178153797,8,3.464101615,1.27E+11,14.84614978,IM,IM,0,1,0,2,,____,,
Al4Cu3,2,Al Cu,4 3,1.366,1115.312857,209.974045,0.010099422,0.682908105,1.734285714,0.143512781,6.428571429,3.958973274,1.03E+11,31.6717862,IM,IM,0,1,0,2,,____,,
Cd3Cu4,2,Cd Cu,3 4,1.402285714,1030.534286,377.8592555,0.06059653,0.682908105,1.81,0.103923048,11.42857143,0.494871659,98000000000,48.49742261,IM,IM,0,1,0,2,,____,,
Ni3Sn4,2,Ni Sn,3 4,1.459714286,1029.188571,605.1884496,0.040397686,0.682908105,1.938571429,0.024743583,6.571428571,2.969229956,1.10E+11,60.37434244,IM,IM,0,1,0,2,,____,,
Al3Zr4,2,Al Zr,3 4,1.529714286,1616.058571,591.1390432,0.444374551,0.682908105,1.45,0.138564065,3.571428571,0.494871659,73047619048,2.556836906,IM,IM,0,1,0,2,,12,,
Dy4Sb3,2,Dy Sb,4 3,1.583714286,1350.191429,386.6036377,0.676661248,0.682908105,1.575714286,0.410743477,3.857142857,0.989743319,41428571429,0.494871659,IM,IM,0,1,0,2,,____,,
Sb3Y4,2,Sb Y,3 4,1.599714286,1415.334286,443.0190068,0.68676067,0.682908105,1.575714286,0.410743477,3.857142857,0.989743319,41428571429,0.494871659,IM,IM,0,1,0,2,,____,,
Al12Mg17,2,Al Mg,12 17,1.531068966,927.3324138,5.156603838,0.02928135,0.678209394,1.434137931,0.147753692,2.413793103,0.492512305,57827586207,15.26788147,IM,IM,0,1,0,2,,____,,
Co2V3,2,Co V,2 3,1.29,2017,203.3076487,0.274342851,0.673011667,1.73,0.122474487,6.6,1.959591794,1.68E+11,9.797958971,IM,IM,0,1,0,2,,____,,
Fe3W2,2,Fe W,3 2,1.2914,2564.6,922.9677351,0,0.673011667,2.042,0.259645913,7.2,0.979795897,2.26E+11,68.5857128,IM,IM,0,1,0,2,,____,,
Cu3Ti2,2,Cu Ti,3 2,1.3516,1591.062,285.7231805,0.176363261,0.673011667,1.756,0.176363261,8.2,3.42928564,1.28E+11,14.69693846,IM,IM,0,1,0,2,,____,,
Al3Ru2,2,Al Ru,3 2,1.3944,1602.882,819.8589138,0.411514277,0.673011667,1.846,0.28903979,5,2.449489743,1.34E+11,70.54530459,IM,IM,0,1,0,2,,____,,
Co3Sn2,2,Co Sn,3 2,1.3986,1262.832,618.7019172,0,0.673011667,1.912,0.039191836,7,2.449489743,1.31E+11,59.76754972,IM,IM,0,1,0,2,,____,,
Ag2Ga3,2,Ag Ga,2 3,1.4132,675.718,456.594686,0.09797959,0.673011667,1.858,0.058787754,6.2,3.919183588,73600000000,21.55550974,IM,IM,0,1,0,2,,____,,
Au3In2,2,Au In,3 2,1.4892,974.298,444.6215802,0.215555097,0.673011667,2.236,0.372322441,7.8,3.919183588,1.45E+11,91.44925006,IM,IM,0,1,0,2,,____,,
Al3Mg2,2,Al Mg,3 2,1.4996,929.282,5.129231521,0.039191836,0.673011667,1.49,0.146969385,2.6,0.489897949,63600000000,15.18683641,IM,IM,0,1,0,2,,____,,
Bi2Mg3,2,Bi Mg,2 3,1.5326,771.68,185.3283939,0.195959179,0.673011667,1.594,0.347827543,3.2,1.469693846,39400000000,6.85857128,IM,IM,0,1,0,2,,____,,
Al2Zr3,2,Al Zr,2 3,1.5346,1650.188,585.1977965,0.862220389,0.673011667,1.442,0.137171426,3.6,0.489897949,72900000000,2.531139401,IM,IM,0,1,0,2,,12,,
Al8V5,2,Al V,8 5,1.387384615,1414.058462,607.9016623,0.41453617,0.666278442,1.617692308,0.009730085,3.769230769,0.973008511,1.08E+11,40.86635745,IM,IM,0,1,0,2,,____,,
Al8Mn5,2,Al Mn,8 5,1.400461538,1158.673846,284.8628367,0.492261702,0.666278442,1.586923077,0.029190255,4.538461538,1.946017022,92923076923,21.40618724,IM,IM,0,1,0,2,,____,,
Ag5Cd8,2,Ag Cd,5 8,1.520692308,840.6469231,311.7081415,0.051817021,0.666278442,1.782307692,0.116761021,11.61538462,0.486504255,64307692308,28.21724681,IM,IM,0,1,0,2,,____,,
Mo5Si3,2,Mo Si,5 3,1.28425,2442.625,585.3046082,1.059018884,0.661563238,2.0625,0.125871959,5.25,0.968245837,1.81E+11,62.93597938,IM,IM,0,1,0,2,,____,,
Pt5Al3,2,Pt Al,5 3,1.403875,1625.92625,536.3743048,1.331338025,0.661563238,2.02875,0.324362355,7.375,3.388860428,1.72E+11,74.55492941,IM,IM,0,1,0,2,,____,,
Dy5Sb3,2,Dy Sb,5 3,1.6075,1392.0425,378.2065062,2.02726472,0.661563238,1.53125,0.401822022,3.75,0.968245837,41375000000,0.484122918,IM,IM,0,1,0,2,,____,,
Sb3Y5,2,Sb Y,3 5,1.625,1463.2925,433.3965189,2.057522403,0.661563238,1.53125,0.401822022,3.75,0.968245837,41375000000,0.484122918,IM,IM,0,1,0,2,,____,,
AlB2,2,Al B,1 2,1.024,1876.49,666.8158368,0,0.636514168,1.896666667,0.202703944,3,0,2.39E+11,115.0227031,IM,IM,0,1,0,2,,____,,
HfB2,2,Hf B,1 2,1.072666667,2400.666667,74.48191428,3.456966486,0.636514168,1.793333333,0.348839345,3.333333333,0.471404521,2.50E+11,98.99494937,IM,IM,0,1,0,2,,____,,
BNi2,2,B Ni,1 2,1.104,1934.666667,292.2708029,1.257078722,0.636514168,1.953333333,0.061282588,7.666666667,3.299831646,2.27E+11,65.99663291,IM,IM,0,1,0,2,,____,,
BCr2,2,B Cr,1 2,1.106,2236,79.19595949,1.623726683,0.636514168,1.786666667,0.179133718,5,1.414213562,2.13E+11,75.42472333,IM,IM,0,1,0,2,,____,,
BCo2,2,B Co ,1 2,1.107333333,1961.333333,273.4146221,1.257078722,0.636514168,1.933333333,0.075424723,7,2.828427125,2.27E+11,65.99663291,IM,IM,0,1,0,2,,____,,
FeSi2,2,Fe Si,1 2,1.182333333,1728.333333,58.45416058,1.833239803,0.636514168,1.876666667,0.032998316,5.333333333,1.885618083,1.23E+11,32.99831646,IM,IM,0,1,0,2,,____,,
CrSi2,2,Cr Si,1 2,1.185,1851.333333,232.4024287,1.937996363,0.636514168,1.82,0.113137085,4.666666667,0.942809042,1.20E+11,28.28427125,IM,IM,0,1,0,2,,____,,
Si2V,2,Si V,2 1,1.207333333,1852.333333,233.8166423,2.514157444,0.636514168,1.81,0.127279221,4.333333333,0.471404521,1.20E+11,28.28427125,IM,IM,0,1,0,2,,____,,
Fe2Si,2,Fe Si,2 1,1.211666667,1769.666667,58.45416058,1.833239803,0.636514168,1.853333333,0.032998316,6.666666667,1.885618083,1.47E+11,32.99831646,IM,IM,0,1,0,2,,____,,
MoSi2,2,Mo Si,1 2,1.223,2090,569.9280656,1.833239803,0.636514168,1.986666667,0.122565175,4.666666667,0.942809042,1.43E+11,61.2825877,IM,IM,0,1,0,2,,____,,
Be2Ti,2,Be Ti,2 1,1.239333333,1687,179.6051224,1.571348403,0.636514168,1.56,0.014142136,2.666666667,0.942809042,1.23E+11,9.428090416,IM,IM,0,1,0,2,,____,,
